Marshmello,ID UNKNOWN,52.5M,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
Ariana Grande,ID UNKNOWN,47.9M,https://www.youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g
EminemMusic,ID UNKNOWN,47.4M,https://www.youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw
Taylor Swift,ID UNKNOWN,42.3M,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g
LooLoo Kids - Nursery Rhymes and Children's Songs,PU4NALVCmcmL5ntpV0thoH6w,42.4M,https://www.youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w
Katy Perry,ID UNKNOWN,40.5M,https://www.youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
Billie Eilish,ID UNKNOWN,40.1M,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
SonyMusicIndiaVEVO,PU3MLnJtqc_phABBriLRhtgQ,35.3M,https://www.youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ
Maroon 5,ID UNKNOWN,33.9M,https://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw
Daddy Yankee,ID UNKNOWN,33.6M,https://www.youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
JustinBieberVEVO,PUHkj014U2CQ2Nv0UZeYpE_A,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A
XXXTENTACION,ID UNKNOWN,32M,https://www.youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw
Bruno Mars,ID UNKNOWN,30.9M,https://www.youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA
Trap Nation,PUa10nxShhzNrCE1o2ZOPztg,30M,https://www.youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
Selena Gomez,ID UNKNOWN,28.8M,https://www.youtube.com/channel/UCPNxhDvTcytIdvwXWAm43cA
Maluma,ID UNKNOWN,27.1M,https://www.youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw
Ultra Music,PU4rasfm9J-X4jNl9SvXp8xA,26.4M,https://www.youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
TaylorSwiftVEVO,PUANLZYMidaCbLQFWXBC95Jg,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg
RihannaVEVO,PU2xskkQVFEpLcGFnNSLQY0A,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A
EminemVEVO,PU20vb-R_px4CguHzzBPhoyQ,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ
KatyPerryVEVO,PU-8Q-hLdECwQmaWNwXitYDw,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw
WORLDSTARHIPHOP,PU-yXuc1__OzjwpsJPlxYUCQ,25M,https://www.youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ
ImagineDragons,ID UNKNOWN,25M,https://www.youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA
Drake,ID UNKNOWN,24.4M,https://www.youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ
Wiz Khalifa,ID UNKNOWN,24.3M,https://www.youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
DisneyMusicVEVO,PUgwv23FVv3lqh567yagXfNg,24M,https://www.youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
David Guetta,ID UNKNOWN,23.1M,https://www.youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg
Beyoncé,ID UNKNOWN,23M,https://www.youtube.com/channel/UCuHzBCaKmtaLcRAOoazhCPA
Nicki Minaj,ID UNKNOWN,22.5M,https://www.youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg
Post Malone,ID UNKNOWN,21.6M,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ
The Chainsmokers,ID UNKNOWN,21.5M,https://www.youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg
Chris Brown,ID UNKNOWN,21.5M,https://www.youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w
Michael Jackson,ID UNKNOWN,21.3M,https://www.youtube.com/channel/UC5OrDvL9DscpcAstz7JnQGA
Enrique Iglesias,ID UNKNOWN,21M,https://www.youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w
DJ Snake,ID UNKNOWN,20.4M,https://www.youtube.com/channel/UC_x8HoD18XJkILQBreVENUQ
Vevo,PU2pmfLm7iq6Ov1UwYrWYkZA,19.9M,https://www.youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA
Lady Gaga,ID UNKNOWN,19.8M,https://www.youtube.com/channel/UCNL1ZadSjHpjm4q9j2sVtOA
Skrillex,ID UNKNOWN,19.6M,https://www.youtube.com/channel/UC_TVqp_SyG6j5hG-xVRy95A
Sia,ID UNKNOWN,19.5M,https://www.youtube.com/channel/UCN9HPn2fq-NL8M5_kp4RWZQ
Tekashi 6ix9ine,ID UNKNOWN,19.5M,https://www.youtube.com/channel/UCF6jRAgCbSanHolKt0Vt6Qw
PTXofficial,ID UNKNOWN,19M,https://www.youtube.com/channel/UCmv1CLT6ZcFdTJMHxaR9XeA
shakiraVEVO,PUGnjeahCJW1AF34HBmQTJ-Q,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UCGnjeahCJW1AF34HBmQTJ-Q
ArianaGrandeVevo,PU0VOyT2OCBKdQhF3BAbZ-1g,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g
Charlie Puth,ID UNKNOWN,17.9M,https://www.youtube.com/channel/UCwppdrjsBPAZg5_cUwQjfMQ
Linkin Park,ID UNKNOWN,17.8M,https://www.youtube.com/channel/UCZU9T1ceaOgwfLRq7OKFU4Q
Becky G,ID UNKNOWN,17.7M,https://www.youtube.com/channel/UCgtNC51EUSgcZ6kKyVoPxKA
EeOneGuy,PUrFiA0hztL9e8zTi_qBuW4w,17.6M,https://www.youtube.com/channel/UCrFiA0hztL9e8zTi_qBuW4w
LuisFonsiVEVO,PULp8RBhQHu9wSsq62j_Md6A,UNKNOWN FOLLOWER COUNTE,https://www.youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A
Demi Lovato,ID UNKNOWN,17.3M,https://www.youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ
Romeo Santos,ID UNKNOWN,17M,https://www.youtube.com/channel/UCyxbZF7_PK4nLiexj0kkCNg
